"Team","year","num_all_stars","lagged"
"Hawks",2003,0,NA
"Hawks",2004,0,0
"Hawks",2005,0,0
"Hawks",2006,0,0
"Hawks",2007,1,0
"Hawks",2008,1,1
"Hawks",2009,1,1
"Hawks",2010,2,1
"Hawks",2011,2,2
"Hawks",2012,1,2
"Hawks",2013,0,1
"Hawks",2014,1,0
"Hawks",2015,4,1
"Hawks",2016,2,4
"Hawks",2017,1,2
"Hawks",2018,0,1
"Hawks",2019,0,0
"Hawks",2020,1,0
"Hawks",2021,0,1
"Hawks",2022,1,0
"Hawks",2023,0,1
"Celtics",2003,2,NA
"Celtics",2004,1,2
"Celtics",2005,1,1
"Celtics",2006,1,1
"Celtics",2007,0,1
"Celtics",2008,3,0
"Celtics",2009,3,3
"Celtics",2010,3,3
"Celtics",2011,4,3
"Celtics",2012,2,4
"Celtics",2013,2,2
"Celtics",2014,0,2
"Celtics",2015,0,0
"Celtics",2016,1,0
"Celtics",2017,1,1
"Celtics",2018,2,1
"Celtics",2019,1,2
"Celtics",2020,2,1
"Celtics",2021,2,2
"Celtics",2022,1,2
"Celtics",2023,2,1
"Nets",2003,1,NA
"Nets",2004,2,1
"Nets",2005,1,2
"Nets",2006,1,1
"Nets",2007,2,1
"Nets",2008,1,2
"Nets",2009,1,1
"Nets",2010,0,1
"Nets",2011,0,0
"Nets",2012,1,0
"Nets",2013,1,1
"Nets",2014,1,1
"Nets",2015,0,1
"Nets",2016,0,0
"Nets",2017,0,0
"Nets",2018,0,0
"Nets",2019,1,0
"Nets",2020,0,1
"Nets",2021,3,0
"Nets",2022,1,3
"Nets",2023,0,1
"Bobcats",2003,0,NA
"Bobcats",2004,0,0
"Bobcats",2005,0,0
"Bobcats",2006,0,0
"Bobcats",2007,0,0
"Bobcats",2008,0,0
"Bobcats",2009,0,0
"Bobcats",2010,1,0
"Bobcats",2011,0,1
"Bobcats",2012,0,0
"Bobcats",2013,0,0
"Bobcats",2014,0,0
"Bobcats",2015,0,0
"Bobcats",2016,0,0
"Bobcats",2017,0,0
"Bobcats",2018,0,0
"Bobcats",2019,0,0
"Bobcats",2020,0,0
"Bobcats",2021,0,0
"Bobcats",2022,0,0
"Bobcats",2023,0,0
"Hornets",2003,1,NA
"Hornets",2004,2,1
"Hornets",2005,0,2
"Hornets",2006,0,0
"Hornets",2007,0,0
"Hornets",2008,2,0
"Hornets",2009,2,2
"Hornets",2010,1,2
"Hornets",2011,1,1
"Hornets",2012,0,1
"Hornets",2013,0,0
"Hornets",2014,0,0
"Hornets",2015,0,0
"Hornets",2016,0,0
"Hornets",2017,1,0
"Hornets",2018,1,1
"Hornets",2019,1,1
"Hornets",2020,0,1
"Hornets",2021,0,0
"Hornets",2022,1,0
"Hornets",2023,0,1
"Bulls",2003,0,NA
"Bulls",2004,0,0
"Bulls",2005,0,0
"Bulls",2006,0,0
"Bulls",2007,0,0
"Bulls",2008,0,0
"Bulls",2009,0,0
"Bulls",2010,1,0
"Bulls",2011,1,1
"Bulls",2012,2,1
"Bulls",2013,2,2
"Bulls",2014,1,2
"Bulls",2015,2,1
"Bulls",2016,2,2
"Bulls",2017,1,2
"Bulls",2018,0,1
"Bulls",2019,0,0
"Bulls",2020,0,0
"Bulls",2021,1,0
"Bulls",2022,2,1
"Bulls",2023,1,2
"Cavaliers",2003,1,NA
"Cavaliers",2004,0,1
"Cavaliers",2005,2,0
"Cavaliers",2006,1,2
"Cavaliers",2007,1,1
"Cavaliers",2008,1,1
"Cavaliers",2009,2,1
"Cavaliers",2010,1,2
"Cavaliers",2011,0,1
"Cavaliers",2012,0,0
"Cavaliers",2013,1,0
"Cavaliers",2014,1,1
"Cavaliers",2015,2,1
"Cavaliers",2016,1,2
"Cavaliers",2017,3,1
"Cavaliers",2018,2,3
"Cavaliers",2019,0,2
"Cavaliers",2020,0,0
"Cavaliers",2021,0,0
"Cavaliers",2022,2,0
"Cavaliers",2023,1,2
"Mavericks",2003,2,NA
"Mavericks",2004,1,2
"Mavericks",2005,1,1
"Mavericks",2006,1,1
"Mavericks",2007,2,1
"Mavericks",2008,1,2
"Mavericks",2009,1,1
"Mavericks",2010,2,1
"Mavericks",2011,1,2
"Mavericks",2012,1,1
"Mavericks",2013,0,1
"Mavericks",2014,1,0
"Mavericks",2015,1,1
"Mavericks",2016,0,1
"Mavericks",2017,0,0
"Mavericks",2018,0,0
"Mavericks",2019,1,0
"Mavericks",2020,1,1
"Mavericks",2021,1,1
"Mavericks",2022,1,1
"Mavericks",2023,2,1
"Nuggets",2003,0,NA
"Nuggets",2004,0,0
"Nuggets",2005,0,0
"Nuggets",2006,0,0
"Nuggets",2007,2,0
"Nuggets",2008,2,2
"Nuggets",2009,1,2
"Nuggets",2010,2,1
"Nuggets",2011,1,2
"Nuggets",2012,0,1
"Nuggets",2013,0,0
"Nuggets",2014,0,0
"Nuggets",2015,0,0
"Nuggets",2016,0,0
"Nuggets",2017,0,0
"Nuggets",2018,0,0
"Nuggets",2019,1,0
"Nuggets",2020,1,1
"Nuggets",2021,1,1
"Nuggets",2022,1,1
"Nuggets",2023,1,1
"Pistons",2003,1,NA
"Pistons",2004,1,1
"Pistons",2005,1,1
"Pistons",2006,4,1
"Pistons",2007,2,4
"Pistons",2008,3,2
"Pistons",2009,1,3
"Pistons",2010,0,1
"Pistons",2011,0,0
"Pistons",2012,0,0
"Pistons",2013,0,0
"Pistons",2014,0,0
"Pistons",2015,0,0
"Pistons",2016,1,0
"Pistons",2017,0,1
"Pistons",2018,1,0
"Pistons",2019,1,1
"Pistons",2020,0,1
"Pistons",2021,0,0
"Pistons",2022,0,0
"Pistons",2023,0,0
"Warriors",2003,0,NA
"Warriors",2004,0,0
"Warriors",2005,0,0
"Warriors",2006,0,0
"Warriors",2007,0,0
"Warriors",2008,0,0
"Warriors",2009,0,0
"Warriors",2010,0,0
"Warriors",2011,0,0
"Warriors",2012,0,0
"Warriors",2013,1,0
"Warriors",2014,1,1
"Warriors",2015,2,1
"Warriors",2016,3,2
"Warriors",2017,4,3
"Warriors",2018,4,4
"Warriors",2019,3,4
"Warriors",2020,0,3
"Warriors",2021,1,0
"Warriors",2022,3,1
"Warriors",2023,1,3
"Rockets",2003,2,NA
"Rockets",2004,2,2
"Rockets",2005,2,2
"Rockets",2006,2,2
"Rockets",2007,2,2
"Rockets",2008,1,2
"Rockets",2009,1,1
"Rockets",2010,0,1
"Rockets",2011,1,0
"Rockets",2012,0,1
"Rockets",2013,1,0
"Rockets",2014,2,1
"Rockets",2015,1,2
"Rockets",2016,1,1
"Rockets",2017,1,1
"Rockets",2018,1,1
"Rockets",2019,1,1
"Rockets",2020,2,1
"Rockets",2021,0,2
"Rockets",2022,0,0
"Rockets",2023,0,0
"Pacers",2003,2,NA
"Pacers",2004,2,2
"Pacers",2005,1,2
"Pacers",2006,1,1
"Pacers",2007,1,1
"Pacers",2008,0,1
"Pacers",2009,1,0
"Pacers",2010,0,1
"Pacers",2011,0,0
"Pacers",2012,1,0
"Pacers",2013,1,1
"Pacers",2014,2,1
"Pacers",2015,0,2
"Pacers",2016,1,0
"Pacers",2017,1,1
"Pacers",2018,1,1
"Pacers",2019,1,1
"Pacers",2020,1,1
"Pacers",2021,1,1
"Pacers",2022,0,1
"Pacers",2023,1,0
"Clippers",2003,0,NA
"Clippers",2004,0,0
"Clippers",2005,0,0
"Clippers",2006,1,0
"Clippers",2007,0,1
"Clippers",2008,0,0
"Clippers",2009,0,0
