"Team","PCT","year"
"Pistons",92.7,2003
"76ers",96.3,2003
"Bulls",90.4,2003
"Blazers",97.2,2003
"Jazz",96.3,2003
"Knicks",98.6,2003
"Lakers",98.4,2003
"Raptors",95.8,2003
"Spurs",97,2003
"Kings",100,2003
"Celtics",92.9,2003
"Pacers",89.1,2003
"Suns",85.5,2003
"Bucks",86.8,2003
"Timberwolves",82.6,2003
"Pelicans",91,2003
"Thunder",91,2003
"Warriors",79,2003
"Heat",78.2,2003
"Nets",76,2003
"Magic",85.7,2003
"Cavaliers",55.9,2003
"Pistons",96.4,2004
"Bulls",90.9,2004
"76ers",94,2004
"Knicks",99.4,2004
"Jazz",96.2,2004
"Lakers",98.4,2004
"Raptors",92.5,2004
"Cavaliers",88.9,2004
"Spurs",97.5,2004
"Timberwolves",92.8,2004
"Kings",100,2004
"Bucks",89.9,2004
"Blazers",83.5,2004
"Pacers",90.2,2004
"Suns",86,2004
"Warriors",82.9,2004
"Celtics",87,2004
"Rockets",84.5,2004
"Thunder",91.6,2004
"Heat",77.8,2004
"Nets",74.8,2004
"Magic",83.3,2004
"Pelicans",83.3,2004
"Pistons",100,2005
"Bulls",93.1,2005
"Heat",101.4,2005
"Knicks",101.2,2005
"Cavaliers",93,2005
"Lakers",97.5,2005
"Jazz",94.2,2005
"Spurs",99,2005
"76ers",87.4,2005
"Suns",93.1,2005
"Kings",100,2005
"Timberwolves",90.4,2005
"Raptors",86.6,2005
"Pacers",92.6,2005
"Grizzlies",91.6,2005
"Blazers",83.1,2005
"Thunder",96.5,2005
"Warriors",83.4,2005
"Rockets",87.5,2005
"Celtics",85.9,2005
"Bucks",83,2005
"Nets",75.5,2005
"Magic",84.6,2005
"Hornets",60.6,2005
"Pelicans",82.7,2005
"Pistons",100,2006
"Bulls",97.6,2006
"Heat",101.8,2006
"Cavaliers",94,2006
"Knicks",98.2,2006
"Lakers",97.9,2006
"Spurs",101.6,2006
"Jazz",92.1,2006
"Warriors",93.2,2006
"Suns",93.6,2006
"Kings",100,2006
"Raptors",86.1,2006
"Celtics",90.7,2006
"Nets",84.4,2006
"Bucks",88.8,2006
"76ers",80.8,2006
"Thunder",94.9,2006
"Pacers",88.2,2006
"Timberwolves",85,2006
"Grizzlies",85.8,2006
"Magic",90.2,2006
"Rockets",83.9,2006
"Blazers",75.3,2006
"Bulls",102.5,2007
"Pistons",100,2007
"Cavaliers",99.4,2007
"Heat",100.6,2007
"Jazz",98.3,2007
"Lakers",98.5,2007
"Knicks",97.5,2007
"Spurs",100.8,2007
"Suns",96.8,2007
"Raptors",92.2,2007
"Warriors",92.4,2007
"Pelicans",92.3,2007
"Kings",100,2007
"Magic",99.1,2007
"Nets",84.7,2007
"Celtics",90.4,2007
"Rockets",89.4,2007
"Blazers",81.9,2007
"Bucks",86.5,2007
"Timberwolves",84.2,2007
"Thunder",93.5,2007
"Hornets",81.7,2007
"Pacers",83.7,2007
"76ers",72.6,2007
"Grizzlies",79.6,2007
"Pistons",100,2008
"Bulls",101.3,2008
"Cavaliers",99.5,2008
"Jazz",100,2008
"Warriors",100.2,2008
"Blazers",97.8,2008
"Heat",99.3,2008
"Raptors",98.2,2008
"Knicks",99.1,2008
"Lakers",98.5,2008
"Celtics",100,2008
"Spurs",100.3,2008
"Suns",96.8,2008
"Rockets",94.7,2008
"Magic",100.3,2008
"Nets",78.3,2008
"Bucks",83.3,2008
"76ers",72.7,2008
"Hornets",77.4,2008
"Timberwolves",76.2,2008
"Pelicans",82.4,2008
"Kings",81.7,2008
"Thunder",78.2,2008
"Grizzlies",69.4,2008
"Pacers",66.6,2008
"Pistons",99.1,2009
"Bulls",97.6,2009
"Blazers",102.7,2009
"Mavericks",104.4,2009
"Cavaliers",97.3,2009
"Jazz",100,2009
"Knicks",97.6,2009
"Lakers",99.7,2009
"Warriors",96.7,2009
"Raptors",94.8,2009
"Thunder",97.7,2009
"Celtics",100,2009
"Suns",100,2009
"Spurs",97.2,2009
"Heat",93,2009
"Rockets",96.9,2009
"Nuggets",89.9,2009
"Magic",97.6,2009
"Pelicans",98.7,2009
"Hawks",89.4,2009
"Wizards",82.4,2009
"Clippers",84.8,2009
"76ers",79.7,2009
"Bucks",82.2,2009
"Nets",75.8,2009
"Hornets",76.3,2009
"Timberwolves",74.9,2009
"Pacers",78.1,2009
"Grizzlies",70.3,2009
"Kings",72.6,2009
"Bulls",99.1,2010
"Cavaliers",100,2010
"Blazers",102.6,2010
"Mavericks",104.1,2010
"Knicks",98.7,2010
"Jazz",97.3,2010
"Lakers",99.7,2010
"Pistons",84.9,2010
"Celtics",97.6,2010
"Spurs",97.4,2010
"Warriors",92,2010
"Thunder",98.9,2010
"Nuggets",93.9,2010
"Raptors",90.4,2010
"Heat",90.5,2010
"Suns",95.8,2010
"Magic",100,2010
"Hawks",88.3,2010
"Rockets",91.6,2010
"Clippers",85.7,2010
"Wizards",80.3,2010
"Hornets",82.9,2010
"Pelicans",88.5,2010
"Bucks",80.7,2010
"Timberwolves",78,2010
"76ers",70,2010
"Pacers",78.2,2010
"Grizzlies",74.4,2010
"Kings",76.5,2010
"Nets",69.1,2010
"Bulls",104.2,2011
"Blazers",102.7,2011
"Cavaliers",97.8,2011
"Mavericks",104.7,2011
"Heat",100.9,2011
"Knicks",99.8,2011
"Jazz",98,2011
"Lakers",99.7,2011
"Magic",102.6,2011
"Warriors",95.4,2011
"Celtics",100,2011
"Spurs",98.6,2011
"Thunder",99.7,2011
"Clippers",93.1,2011
"Suns",95.4,2011
"Nuggets",88.2,2011
"Wizards",83.2,2011
"Pistons",75.5,2011
"Raptors",83.7,2011
"Rockets",89.7,2011
"Hornets",83.1,2011
"Hawks",83.6,2011
"Bucks",82.3,2011
"Timberwolves",78.8,2011
"76ers",72.6,2011
"Pelicans",86.1,2011
"Grizzlies",80.9,2011
"Nets",80.6,2011
"Kings",80.2,2011
"Pacers",74.5,2011
"Bulls",105.9,2012
"Blazers",102.6,2012
"Mavericks",105.9,2012
"Heat",101.7,2012
"Knicks",100,2012
"Jazz",97,2012
"Clippers",100.8,2012
"Lakers",99.7,2012
"Magic",102.1,2012
"Warriors",96.2,2012
"Celtics",100,2012
"Spurs",99,2012
"Thunder",100,2012
"76ers",86.1,2012
"Timberwolves",90.4,2012
"Nuggets",88.9,2012
"Raptors",85,2012
"Wizards",82.9,2012
"Cavaliers",77.5,2012
"Grizzlies",86.7,2012
"Suns",84.7,2012
"Rockets",85.1,2012
"Hawks",81.2,2012
