"Team","year","WinPCT","Wins"
"Mavericks",2003,86.1,"37"
"Lakers",2003,84.6,"44"
"Kings",2003,83,"39"
"Pacers",2003,81.6,"40"
"Spurs",2003,80.4,"37"
"Timberwolves",2003,76.5,"39"
"Pistons",2003,75.9,"41"
"Heat",2003,72.9,"35"
"Grizzlies",2003,72.1,"31"
"Nuggets",2003,69.8,"30"
"Nets",2003,69.6,"32"
"Jazz",2003,68.3,"28"
"Warriors",2003,65.9,"27"
"Rockets",2003,65.1,"28"
"Pelicans",2003,63.6,"28"
"Bucks",2003,62.8,"27"
"Blazers",2003,61,"25"
"Cavaliers",2003,56.1,"23"
"Knicks",2003,53.5,"23"
"76ers",2003,51.2,"21"
"Thunder",2003,50,"20"
"Clippers",2003,45,"18"
"Celtics",2003,44.2,"19"
"Raptors",2003,43.9,"18"
"Hawks",2003,43.9,"18"
"Suns",2003,43.9,"18"
"Wizards",2003,41.5,"17"
"Bulls",2003,34.2,"14"
"Magic",2003,26.8,"11"
"Spurs",2004,88.7,"47"
"Heat",2004,83.7,"41"
"Pistons",2004,77.4,"41"
"Kings",2004,72.1,"31"
"Nuggets",2004,72.1,"31"
"Suns",2004,71.4,"35"
"Cavaliers",2004,70.7,"29"
"Wizards",2004,69.6,"32"
"Mavericks",2004,66.7,"32"
"Thunder",2004,66,"31"
"Bulls",2004,65.9,"29"
"Clippers",2004,65.9,"27"
"Celtics",2004,62.2,"28"
"Rockets",2004,61.4,"27"
"76ers",2004,60.5,"26"
"Grizzlies",2004,60.5,"26"
"Magic",2004,58.5,"24"
"Timberwolves",2004,58.5,"24"
"Pacers",2004,57.5,"27"
"Bucks",2004,56.1,"23"
"Nets",2004,55.8,"24"
"Knicks",2004,53.7,"22"
"Lakers",2004,53.7,"22"
"Raptors",2004,53.7,"22"
"Warriors",2004,48.8,"20"
"Jazz",2004,43.9,"18"
"Blazers",2004,43.9,"18"
"Hornets",2004,34.2,"14"
"Pelicans",2004,26.8,"11"
"Hawks",2004,22,"9"
"Pistons",2005,88.2,"45"
"Spurs",2005,81.3,"39"
"Mavericks",2005,80.8,"42"
"Heat",2005,79.3,"42"
"Cavaliers",2005,74.5,"35"
"Suns",2005,73.1,"38"
"Grizzlies",2005,69.8,"30"
"Clippers",2005,68.1,"32"
"Nets",2005,67.4,"31"
"Lakers",2005,65.9,"29"
"Kings",2005,65.9,"29"
"Wizards",2005,63.6,"28"
"Pacers",2005,63.6,"28"
"Magic",2005,63.4,"26"
"Nuggets",2005,62.8,"27"
"Bucks",2005,60.5,"26"
"Timberwolves",2005,58.5,"24"
"Pelicans",2005,58.5,"24"
"76ers",2005,56.1,"23"
"Thunder",2005,53.7,"22"
"Jazz",2005,53.7,"22"
"Bulls",2005,52.3,"23"
"Warriors",2005,51.2,"21"
"Celtics",2005,51.2,"21"
"Hawks",2005,43.9,"18"
"Hornets",2005,41.5,"17"
"Blazers",2005,36.6,"15"
"Raptors",2005,36.6,"15"
"Knicks",2005,36.6,"15"
"Rockets",2005,36.6,"15"
"Mavericks",2006,86.4,"38"
"Suns",2006,78.7,"37"
"Jazz",2006,77.6,"38"
"Spurs",2006,76.9,"40"
"Warriors",2006,73.9,"34"
"Bulls",2006,73.9,"34"
"Raptors",2006,72.7,"32"
